"case","status","output_folder","zip","zip_size_kb","file_count","missing_required","empty_dirs"
"01_fixed_poisson_categorical","fitted","C:/Users/Google/Documents/CodeX/JSDMStudio_BIG_WITH_HMSCHPC_WORK_20260530/JSDMStudio/output/HmscHPC_real_01_fixed_poisson_categorical_20260601_001000","C:/Users/Google/Documents/CodeX/JSDMStudio_BIG_WITH_HMSCHPC_WORK_20260530/JSDMStudio/output/HmscHPC_real_01_fixed_poisson_categorical_20260601_001000.zip",117.4,87,"",""
"02_fixed_probit_binary","fitted","C:/Users/Google/Documents/CodeX/JSDMStudio_BIG_WITH_HMSCHPC_WORK_20260530/JSDMStudio/output/HmscHPC_real_02_fixed_probit_binary_20260601_001020","C:/Users/Google/Documents/CodeX/JSDMStudio_BIG_WITH_HMSCHPC_WORK_20260530/JSDMStudio/output/HmscHPC_real_02_fixed_probit_binary_20260601_001020.zip",102.3,87,"",""
"03_fixed_normal_hmc_toggle","fitted","C:/Users/Google/Documents/CodeX/JSDMStudio_BIG_WITH_HMSCHPC_WORK_20260530/JSDMStudio/output/HmscHPC_real_03_fixed_normal_hmc_toggle_20260601_001039","C:/Users/Google/Documents/CodeX/JSDMStudio_BIG_WITH_HMSCHPC_WORK_20260530/JSDMStudio/output/HmscHPC_real_03_fixed_normal_hmc_toggle_20260601_001039.zip",46.3,84,"",""
"04_traits_phylo_cov","fitted","C:/Users/Google/Documents/CodeX/JSDMStudio_BIG_WITH_HMSCHPC_WORK_20260530/JSDMStudio/output/HmscHPC_real_04_traits_phylo_cov_20260601_001100","C:/Users/Google/Documents/CodeX/JSDMStudio_BIG_WITH_HMSCHPC_WORK_20260530/JSDMStudio/output/HmscHPC_real_04_traits_phylo_cov_20260601_001100.zip",110.7,91,"",""
"05_iid_random_intercept","fitted","C:/Users/Google/Documents/CodeX/JSDMStudio_BIG_WITH_HMSCHPC_WORK_20260530/JSDMStudio/output/HmscHPC_real_05_iid_random_intercept_20260601_001120","C:/Users/Google/Documents/CodeX/JSDMStudio_BIG_WITH_HMSCHPC_WORK_20260530/JSDMStudio/output/HmscHPC_real_05_iid_random_intercept_20260601_001120.zip",114.8,98,"",""
"06_spatial_full_random_intercept","fitted","C:/Users/Google/Documents/CodeX/JSDMStudio_BIG_WITH_HMSCHPC_WORK_20260530/JSDMStudio/output/HmscHPC_real_06_spatial_full_random_intercept_20260601_001142","C:/Users/Google/Documents/CodeX/JSDMStudio_BIG_WITH_HMSCHPC_WORK_20260530/JSDMStudio/output/HmscHPC_real_06_spatial_full_random_intercept_20260601_001142.zip",110.3,100,"",""
"07_phylo_newick_fixed","fitted","C:/Users/Google/Documents/CodeX/JSDMStudio_BIG_WITH_HMSCHPC_WORK_20260530/JSDMStudio/output/HmscHPC_real_07_phylo_newick_fixed_20260601_001202","C:/Users/Google/Documents/CodeX/JSDMStudio_BIG_WITH_HMSCHPC_WORK_20260530/JSDMStudio/output/HmscHPC_real_07_phylo_newick_fixed_20260601_001202.zip",104.3,90,"",""
"08_random_slope_compile_only","model_defined","C:/Users/Google/Documents/CodeX/JSDMStudio_BIG_WITH_HMSCHPC_WORK_20260530/JSDMStudio/output/HmscHPC_real_08_random_slope_compile_only_20260601_001221","C:/Users/Google/Documents/CodeX/JSDMStudio_BIG_WITH_HMSCHPC_WORK_20260530/JSDMStudio/output/HmscHPC_real_08_random_slope_compile_only_20260601_001221.zip",28.7,55,"",""
"09_gaussian_alias_tfd_predictions_off","fitted","C:/Users/Google/Documents/CodeX/JSDMStudio_BIG_WITH_HMSCHPC_WORK_20260530/JSDMStudio/output/HmscHPC_real_09_gaussian_alias_tfd_predictions_off_20260601_001224","C:/Users/Google/Documents/CodeX/JSDMStudio_BIG_WITH_HMSCHPC_WORK_20260530/JSDMStudio/output/HmscHPC_real_09_gaussian_alias_tfd_predictions_off_20260601_001224.zip",127.2,82,"",""
